NRO.;NOMBRE DE LA EMPRESA;RUBRO;DIRECCION;DEPARTAMENTO ;CONTACTO;CORREO ELECTRONICO;PAGINA WEB;
3312;NUEVA CASA JARDÍN;"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Av. 6 de Agosto Ed. Alianza Local 1 Zona Sopocachi;La Paz;No brinda información;abadacasanueva@hotmail.com;No brinda información;
3313;NUEVA ESPERANZA & AbogAsoc;ADMINISTRACION PÚBLICA (LEY SAFCO, MUNICIPALIDAD);C. Yanacocha Nº. 914;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3314;NUEVA NIPPON;OTRAS ACTIVIDADES DE SERVICIOS (LIMPIEZAS, PELUQUERIAS, COSMETOLOGÍA, MODELAJE);Av. Baptista # 955 Zona Norte;La Paz;No brinda información;No brinda información;No brinda información;
3315;NUTRIMAX S.R.L.;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Final Oruro S/N (Viacha);La Paz;No brinda este dato;jesuscbbbol@gmail.com;No Disponible;
3316;O E S.R.L.;"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";C. Sagarnaga Nº. 545 - 557;La Paz;Angel Machicado;oesrl1@entelnet.com;Sitio Web No disponible;
3317;O.E. S.R.L.;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;C. Sagarnaga Nº. 559, Z. Miraflores San Pedro;La Paz;Jese I. Ortiz Castillo;no Disponible;no Disponible;
3318;O.S. ESTRATEGIAS CORPORATIVAS S.R.L.;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Javier Oliver Parada;no brinda información;no brinda información;
3319;OBERON S.R.L.;ASESORAMIENTO EN EXPORTACIONES;C. 42 Nº. 136;La Paz;David Licona Quisbert;gerencia@oberonsrl.com oberonbol@hotmail.com;http://www.oberonsrl.com;
3320;OCCIDENTAL BOLIVIA S.R.L.;"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Av. Litoral Nº. 518 Z.Ovejuyu;La Paz;Liliana Alvarez;occidentalbolivia@entelnet.bo, info@occidentalbolivia.com;www.casablanca-us.com;
3321;OCCIDENTAL S.R.L;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;no brinda informacion;La Paz;Luis Hurtado Condori;occidentalbolivia@entelnet.bo;www.occidental.com.bo;
3322;OCELIBROS S.A.;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS (VIDRIOS, CERAMICA, CEMENTO, YESO, ARCILLA, TALLADO EN PIEDRAS);Pasaje Busch Nº. 7 entre Carrasco y Pasoskanky;La Paz;Sara Clavijo;generalgrl@oceano.com.bo;www.oceano.com.bo;
3323;OCHIAY HERMANOS LTDA.;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;c. Sánchez Lima Nº. 2061 Ed. El Rosario P. 3 /Sopocachi;La Paz;Pedro Riveros Quezada;No Brinda Informacion;No Brinda Informacion;
3324;OCS LA PAZ S.R.L. OVERSEAS COURIER SERVICE;NO IDENTIFICADO EL TIPO;Pje. Jauregui Nº. 2255;La Paz;Naomi N. de Nishizawa;No Brinda Información;No Brinda Información;
3325;OCS LAS PAZ S.R.L.;CORREO Y TELECOMUNICACIONES;Pasaje. Jauregui Nº. 2255 Ed. El Alamo P. 1 Of. 3;La Paz;Kinie Niajara;ocslpb@ceibo.entelnet.bo;www.ocscourier.com;
3326;ODONTOLOGIA EN GRAL .;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Z. Vita Av. Las Muñecas Nº473;La Paz;No brinda este dato;No brinda este dato;Sitio Web No disponible;
3327;OFFSOL PINCEL;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Calle Inquisivi Nº. 441;La Paz;No brinda Información;No brinda Información;No brinda Información;
3328;OFICINA BILBAO LA VIEJA;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Ed. Bolivar piso 5 Of. 502;La Paz;Maria Ibiett Torrez;no brinda esta informacion;no brinda esta informacion;
3329;OFICINA DE CONTABILIDAD;CONTABILIDAD ESPECIALIZADA;Plaza Alonzo de Mendoza C.Bozo Esq.Goyzueta 1er piso Of. 8;La Paz;No Disponible;inesiriarte52@hotmail.com;No Disponible;
3330;OFIPLUS;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Maria Angela Villarreal Ticona;no brinda información;no brinda información;
3331;OHC LATINO DE: CARLOS ANDRES ZACONETA MUÑOZ;ACTIVIDADES DE ESPARCIMIENTO, CULTURALES Y DEPORTIVAS (COMUNICACIÓN SOCIAL, PERIODISMOS, RADIO, TV, TEATRO, MÚSICA, DEPORTES);Av. Mcal. Santa Cruz Esq. Socabaya Ed. Handal P.8 Of.1;La Paz;Carlos Andres Zaconeta Muñoz;OSCAR.CASTANEDA@OHCLATINO.COM;WWW.OHCLATINO.COM;
3332;OHMEDA TECHNOLOGY;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;C. Franz Tamayo 782 Z. Munaypata;La Paz;Mariano Guzman Miranda;ohmedatechnology@gmail.com;No Disponible;
3333;OIGA MEJOR;CENTRO DE AUDIO PROTESIS Y DIAGNÓSTICO;Av. Santa Cruz Ed. Esperanza Local Nº. 6;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3334;OLIGAD;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AGUA CALIENTE;Av. Anchalani C. 9 Nº. 3115 Z. Amor de Dios;La Paz;Oscar Hernan Limachi Si¤ani;No Disponible;No Disponible;
3335;OLIMPICA S.R.L.;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;Z. Villa Fatima, Av. De las americas Esq. Condarco Nº. 1800;La Paz;Blanca Garabito Solano;blanca.garabito@olimpicasrl.com;olimpicasrl.com;
3336;OMNILIFE DE BOLIVIA S.A.;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;C. Capitán Ravelo Nº. 2117;La Paz;Henrique de la Quintana;OportunidadOmnilife@hotmail.com;www.omnilife.com;
3337;ONCOR;CONSTRUCCIÓN, DECORACIÓN DE INTERIORES, ACTIVIDADES Y SERVICIOS RELACIONADOS;Ed. Hansa piso 17 Of. 2;La Paz;Franz Ramos;rodrigo.oncor@gmail.com;no brinda esta informacion;
3338;"ÓPTICA ""FERNANDEZ""";FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Centro C. Ingavi Nª 769;La Paz;Louisa Fernández;No Disponible;No Disponible;
3339;"ÓPTICA ""NUEVO HORIZONTE""";FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Centro C. Ingavi N° 1000;La Paz;Minerva Huanca;No Disponible;No Disponible;
3340;"OPTICA ""OPTALVIS""";FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;C. Comercio Nº. 1089 Z. Central;La Paz;Elizabert Rios;optalvis@entelnet.bo;Sitio Web No disponible;
3341;"ÓPTICA ""OPTALVIS""";FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;C. Comercio Nº. 1089;La Paz;no disponible;optalvis@entelnet.bo;www.opticaoptalvis.com;
3342;"ÓPTICA ""STILO""";FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Centro C. Ingavi N° 780;La Paz;Luis Manzaneda;No Disponible;No Disponible;
3343;OPTICA ANGELES;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Av. Ismael Montes Nº 707;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3344;OPTICA BOLIVIA;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Av. Baptista #1134;La Paz;Freddy Vizcarra;no brinda esta informacion;no brinda esta informacion;
3345;OPTICA BUSTILLO;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Illimani Nº.1908;La Paz;Edgar Bustillo;habanavision4711@hotmail.com;no brinda esta informacion;
3346;OPTICA COSMOS;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;AV. SAAVEDRA #1760 ED. IBITA L-1 Z. MIRAFLORES;La Paz;No Brinda esta informacion;opticacosmos_carolina@hotmail.com;No disponible;
3347;OPTICA DIOR;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Central C. Loayza Nº 511;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3348;OPTICA IRIS;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Av. Mariscal Santa Cruz Club La Paz piso 1 of. 1;La Paz;Mireya Benegas Rivero;No brinda este dato;Página Web no disponible;
3349;OPTICA KADINA;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z.Central C. Colombia Ed. El Contador Nº 208 Of.1;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3350;OPTICA LUCERO;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. San Sebastian Av. America esq. Union S/N;La Paz;No Disponible;No Disponible;No Disponible;
3351;OPTICA MARQUEZ;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Av. America Edif. Señorial Montero S/N;La Paz;No Disponible;No Disponible;No Disponible;
3352;OPTICA MAS VISION;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. San Sebastian Av. America Lado del Motel Señorial Montero Nº. 142;La Paz;No Disponible;No Disponible;No Disponible;
3353;OPTICA MULTI LENF;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Av. Baptista Nro. 1050 Zona Callampaya;La Paz;No brinda información;No brinda información;No brinda información;
3354;OPTICA MULTILENTE;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Baptista #1050;La Paz;Viviana Luna;no brinda esta informacion;no brinda esta informacion;
3355;OPTICA NEW POLICORE;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Saavedra y C. Diaz Romero Nº.1319;La Paz;Gladys Robles Tapia;gladysrobles2010@hotmail.com;no brinda esta informacion;
3356;OPTICA NEW ULTRAVIOLETA;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. San Sebastian Av. America Nº.144;La Paz;No Disponible;oscar_gp@hotmail.com;No Disponible;
3357;OPTICA PALACIO;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Av. Ismael Montes Nº 701;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3358;OPTICA REFLEJOS C.B.;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. Central C. Colon Nº. 1320;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3359;OPTICA ROSS;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Z. San Sebastian Av. La America frente Banco los Andes Nº. 705;La Paz;No Disponible;No Disponible;No Disponible;
3360;OPTICA STYLO;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;C. Ingavi Nº. 780 Esq. Pichincha;La Paz;Enrique R. Escobar M.;optica@stylo.com.bo;no disponible;
3361;OPTICA VIRTUAL;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;C. EVARISTO VALLE #155 PJE. COMERCIAL DEL CENTRO GALERIA 6 C AZUL Z. SAN SEBASTIAN;La Paz;No Brinda esta informacion;No Disponible;No disponible;
3362;OPTICA VISION LTDA.;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Pasaje Peatonal Casa Cultura Nº. 1 Central;La Paz;Mirian Arisiamega;opticavisionlp@hotmail.com;Sitio Web No disponible;
3363;ÓPTICA VISIÓN LTDA.;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISION, EQUIPO FOTOGRÁFICO Y RELOJES;Pasaje Peatonal Casa Cultura Nº. 1;La Paz;no disponible;opticavisionlp@hotmail.com;no disponible;
3364;OPTIMUS S.R.L.;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z.Calacoto C. 19 N° 8018;La Paz;No Disponible;No Disponible;No Disponible;
3365;OPTIPRODUCTOS;NO IDENTIFICADO EL TIPO;C. 21 Nº. 8363 Calacoto - La Paz - Pedro Domingo Murillo - La Paz - Bolivia;La Paz;Juan Gualberto Machado;no brinda información;www.opti-productos.com;
3366;"ORG.""VIAJES ESPACIAL"" DE TURISMO INTERNAL. S.R.L";"ACTIVIDADES COMPLEMENTARIAS Y AUXILIARES AL TRANSPORTE; ACTIVIDADES DE AGENCIAS DE VIAJES, GUIAS DE TURÍSMO, ADMINSITRACIÓN TURÍSTICA)";Av. Montenegro Nº. 1420 Ed. San Miguel Arcangel P. 1 Of. 104;La Paz;. Edgardo Ricardo Bergamaschi;espacial@viajesespacial.com;www.viajesespacial.com;
3367;"ORGANIZACION SUDAMERICANA ""ORSUD"" LTDA.";IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;Av. 6 de Agosto Nº. 2410 Esq. Belisario Salinas;La Paz;Jose Antonio Barron Montes;orsud@entelnet.bo;No Brinda Informacion;
3368;ORICA BOLIVIA S.A.;TRANSPORTE POR VÍA AEREA (AVIACIÓN, PILOTOS, AZAFATAS, OPERADORES DE VUELO, METEOROLOGÍA);C. Illampu Nº. 750 Z. El Rosario;La Paz;Luis Guerra;no disponible;www.oricachemicals.cl;
3369;ORIENTE MARVI REPRESENTACIONES S. R. L.;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;C. Presbitero Medina Nº. 2516 esq. Pedro Salazar;La Paz;Lourdes Mita;orimarvi@ceibo.entelnet.bo;Sitio Web No disponible;
3370;ORIENTE MARVI S.R.L.;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;Av. Sánchez Lima Nº. 2349;La Paz;Marlene Viveros Galarza;orimarvi@ceibo.entelnet.bo;www.orientemarvi.com/;
3371;ORIGINAL (Asociación de Productores de Calzados La Paz -APROCALPAZ);"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";Z. Rosario C. Tumusla N°. 524 Galeria 16 de Julio, Subsuelo Local N°25;La Paz;Cristina Ramirez Condori;No Disponible;Sitio Web No Disponible;
3372;ORION;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Z.Central C.Aspiazu Nº 2000;La Paz;71209800;No brinda este dato;Página Web:No disponible;
3373;ORNAMENT ORNAMENTACION RESTAURACION MIOCROEMPRESA PRODUCTIVA;NO IDENTIFICADO EL TIPO;Calle Sagarnaga Nº 271;La Paz;Policarpio Quisbert;No brinda este dato;Página Web no disponible;
3374;ORPAN SOCIEDAD CIVIL;CONSTRUCCIÓN, DECORACIÓN DE INTERIORES, ACTIVIDADES Y SERVICIOS RELACIONADOS;Ed. Hansa piso 17 Of. 2;La Paz;Patricia Serrano;secretaria@orpan.com.bo;www.orpan.com.bo;
3375;ORPAN SOCIEDAD CIVIL;CORREO Y TELECOMUNICACIONES;Ed. Hansa piso 17 Of. 2;La Paz;Patricia Serrano;secretaria@orpan.com.bo;www.orpan.com.bo;
3376;ORQUESTA SUIMBALI;ACTIVIDADES FINANCIERA, BOLSAS DE VALORES, CASAS DE CAMBIO;C. Valentin Abecia Nº. 1960(entre Landeta y Sudañez);La Paz;Carlos Medrano Reyes;No Disponible;Sitio Web No disponible;
3377;ORQUIDEA TRICOLOR S.R.L.;EXPLOTACIÓN DE MINERALES NO METÁLICOS (PIEDRA, ARENA, ARCILLA, CAL, YESO, SAL, PIEDRAS PRECIOSAS Y SEMIPRECIOSAS);Pasaje Peatonal Nº. 423, Ed. Libertad - Piso 7, Of. 702;La Paz;Rodrigo Cristhian Arroyo E.;no brinda información;orquideatricolor.com;
3378;ORSET (Asociación de Productores de Calzados La Paz -APROCALPAZ);"CURTIDO, PREPARADO DE CUEROS; FABRICACIÓN DE CALZADO, MALETAS, BOLSOS, CHAMARRAS, TALABARTERIA, ART. EN MAT. SINTÉTICO, PLÁSTICOS E IMITACIONES";Z. Rosario C. Tumusla N°. 524 Galeria 16 de Julio, Subsuelo Local N°9;La Paz;Ramiro Jose Reyes Cajas;No Disponible;Sitio Web No Disponible;
3379;ORTODONCIA Y ORTOPEDIA FACIAL;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Plaza Alonzo de Mendoza C. Bozo Esq.Goyzueta 1er piso Of. 17;La Paz;No Disponible;No Disponible;No Disponible;
3380;ORTOPEDIA;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Z. Central Av. 6 de Agosto Nº 1791;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3381;ORTOPEDIA BOLIVIANO ALEMAN S.R.L.;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;C. Diaz Romero 1704 Esq. C. Republica Dominicana Lado Hospital Materno Infantil - Miraflores;La Paz;Ruben Ayca Rivera;gerencia@ortopediabolivianoaleman.com;www.ortopediabolivianoaleman.com;
3382;ORTOPEDIA LA PAZ;CENTRO DE AUDIO PROTESIS Y DIAGNÓSTICO;Pza. del estadium Juan Manuel Loza Nº.1010;La Paz;Luis Demetrio Arcaine Alarcon;orlapazla@hotmail.com;no brinda información;
3383;ORTOPEDIA LA PAZ;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;av. Simon Bolivar y Juan Manuel Loza #1010;La Paz;Miguel Arcaine;no brinda esta informacion;no brinda esta informacion;
3384;OSMAR ELECTRIC S.R.L;COMERCIO, MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO, APARATOS DE RADIO, TV, TELÉFONOS(TECNICO INDUSTRIAL, TÉCNICO EN ELECTRÓNICA);Z. Central C. Murillo Nº.1082;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3385;OTEBOL S.R.L.;FABRICACIÓN DE EQUIPO Y APARATOS DE RADIO, TELEVISIÓN Y COMUNICACIONES, ELECTRONICA;C.17 Julio Nº. 21 IV Centenario Alto Obrajes;La Paz;Felipe Sequeiros Alcazar;otebol_2007@yahoo.es;No Disponible;
3386;OVI MOTORS BOLIVIA;FABRICACIÓN DE MAQ./ EQUIPO:HORNOS, QUEMADORES INDUST., APARATOS DOM. (EXCEPTO MOTORES DE AERONAVES, VEHICULOS AUTOMOTORES Y MOTOCICLETAS);Carretera a Viacha C. Víctor Eduardo Nº. 2123 P. 3 Carretera Viacha;La Paz;Mauricio Albarracin;No Tiene;No Tiene;
3387;P & M SECURITY;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Kevin Gaston Unzueta Roca;no brinda información;no brinda información;
3388;P & M SECURITY;NO IDENTIFICADO EL TIPO;Av. Sanchez Lima Nº. 2278;La Paz;Kevin Gaston Unzueta Roca;No Disponible;No Disponible;
3389;P & S CONFECCION INDUSTRIAL;NO IDENTIFICADO EL TIPO;Z. Central Plaza Villarroel Nº.59;La Paz;Zenón Blanco;ventas@confecciones-pys.com;http://confecciones-pys.com/;
3390;P & S CONFECCION INDUSTRIAL;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;Plaza Villarroel Nº. 59;La Paz;Sofia Esperanza Condori Zarco;No Disponible;No Disponible;
3391;P & S CONFECCION INDUSTRIAL;CONFECCIÓN DE SOMBREROS Y BORDADOS ESPECIALIZADOS PARA TODO TIPO DE PRENDA;Pza. Villarroel Nº. 59;La Paz;Gladis Poma;ventas@confecciones-pys.com;www.confecciones-pys.com;
3392;PACEÑA LA SALTEÑA;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Av. 20 de Octubre 2379 entre B. Salinas y R. Gutiérrez;La Paz;Mario Chavarria Torrez;pacena@pacenalasaltena.com;www.pacenalasaltena.com;
3393;PACEÑA LA SALTEÑA;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Av. 20 de Octubre Nº. 2379 C. Belisario Salinas y Rosendo Gutierrez;La Paz;no disponible;pacena@pacenalasaltena.com;no disponible;
3394;PACEÑA LA SALTEÑA;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Av. 20 de octubre Nº. 2379;La Paz;Mario Chavarria Torrez;pacena@pacenalasaltena.com;No Disponible;
3395;PACEÑO;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Z. Alto Sopocachi Av. Jaimes Feyre Nº 2580;La Paz;No brinda este dato;No brinda este dato;Página Web;
3396;PACHECO ARCE JOSE ANTONIO - ESPECIALIDADES ODONTOLOGICAS ;SERVICIOS SOCIALES Y DE SALUD (RELACIONADAS CON LA SALUD HUMANA, ENFERMERIA,PROTESIS DENTAL), VETERINARIA Y PRODUCTOS NATURALES;Av. Montenegro 100, Ed. Corona Of. 301 - 302;La Paz;Juan Gabriel Pacheco Arce;dr_antoniopacheco@hotmail.com;Sitio Web No disponible;
3397;PACK & BOL INTERNATIONAL;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Juan Enrique Valloton;no brinda información;no brinda información;
3398;PACK PLAST S.R.L.;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y DE PLÁSTICO (LLANTAS, NEUMÁTICOS, OTROS);C. Teniente Coronel German Busch Nº. 10 Viacha;La Paz;no disponible;packplast@entelnet.bo;www.packplast.net;
3399;PACKPLAST S.R.L.;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Av. Germán Buch Nº. 10 Zona Villa Vista;La Paz;Rodrigo Herrera;rherrera@packplast.net;Sitio Web No disponible;
3400;PAL HARMONY BOLIVIA S.R.L.;NO IDENTIFICADO EL TIPO;L-7;La Paz;Rory Augusto Lizarazu Camacho;contacto@pal-harmony.net;http://pal-harmony.net/;
3401;PALACIO DEL POLLO;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Z. Callampaya C. Manco Kapac Nº. 499;La Paz;No Disponible;No Disponible;No Disponible;
3402;PALETTS PUBLICIDAD;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Central C. Murillo Nº.1162;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3403;PALETTS PUBLICIDAD;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Central C. Murillo Nº1162;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
3404;PALMERA;ARTESANIAS (PINTURA EN TELA, EN MADERA, PORCELANA FRÍA, COTILLON, PEDRERÍA, MUÑEQUERIA);Av. Baptista Nro. 1037 Zona Norte;La Paz;No brinda información;No brinda información;No brinda información;
3405;PAMELA QUISBERT;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;Entre Rios #1662;La Paz;Pamela Quisbert;pub_alternativa@yahoo.com;no brinda esta informacion;
3406;PAN;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Los Andes casi Chorolque Nº 1385;La Paz;Alejandro Lopez;No brinda este dato;Página Web no disponible;
3407;PAN CASERO;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;C. Juan Vela de Córdova Nº. 25;La Paz;No brinda este dato;alexander082804@yahoo.com - ejecutivo01@hotmail.com;No Disponible;
